device_category,device_name,n,site
Trach Collar,Trach Collar;Room Air;Humidified;Warmed,1,ucmc
Trach Collar,Trach Collar;Room Air;Warmed,1,ucmc
Trach Collar,Trach Collar;Room Air;Warmed;Humidified,1,ucmc
Trach Collar,Trach Collar;Warmed;Room Air,1,ucmc
Trach Collar,Venturi Mask;Trach Collar;Humidified,1,ucmc
Vent,Vent,348204,ucmc
Vent,HF Vent,4671,ucmc
Vent,Vent;Warmed;Humidified,3959,ucmc
Vent,Vent;Humidified;Warmed,3378,ucmc
Vent,Vent;Warmed,3115,ucmc
Vent,Warmed;Vent,2966,ucmc
Vent,Warmed;Vent;Humidified,2858,ucmc
Vent,Humidified;Vent;Warmed,2186,ucmc
Vent,Humidified;Vent ;Warmed,1246,ucmc
Vent,Vent;CPAP,1162,ucmc
Vent,Vent ;CPAP,766,ucmc
Vent,Vent ;Humidified;Warmed,763,ucmc
Vent,CPAP;Vent,701,ucmc
Vent,Bag/Valve,672,ucmc
Vent,Vent;Humidified,648,ucmc
Vent,Vent;RAM Cannula,625,ucmc
Vent,Vent ;Warmed,588,ucmc
Vent,Vent ;Warmed;Humidified,568,ucmc
Vent,Warmed;Humidified;Vent,439,ucmc
Vent,Transport Ventilator,399,ucmc
Vent,Bag Valve Mask,288,ucmc
Vent,Humidified;Vent,260,ucmc
Vent,RAM Cannula;Vent,260,ucmc
Vent,Vent ;RAM Cannula,183,ucmc
Vent,Humidified;Warmed;Vent,178,ucmc
Vent,Vent ;Humidified,176,ucmc
Vent,Trach Collar;Vent,127,ucmc
Vent,RAM Cannula;Humidified;Vent ;Warmed,78,ucmc
Vent,Vent ;Trach Collar,53,ucmc
Vent,RAM Cannula;CPAP;Vent,49,ucmc
Vent,Bipap;Vent,45,ucmc
Vent,Warmed;Vent ;Humidified,43,ucmc
Vent,Humidified;HF Vent;Warmed,34,ucmc
Vent,Vent;Bipap,28,ucmc
Vent,Room Air;Vent,27,ucmc
Vent,CPAP;Vent;RAM Cannula,26,ucmc
Vent,HF Vent;Humidified;Warmed,24,ucmc
Vent,CPAP;RAM Cannula;Vent,19,ucmc
Vent,HF Vent;Warmed;Humidified,19,ucmc
Vent,HF Vent;Warmed,18,ucmc
Vent,Vent ;Warmed;Humidified;RAM Cannula,17,ucmc
Vent,RAM Cannula;CPAP;Humidified;Vent ;Warmed,16,ucmc
Vent,Trach Collar;Vent;Warmed,14,ucmc
Vent,Vent;RAM Cannula;CPAP,14,ucmc
Vent,HF Vent;Humidified,13,ucmc
Vent,Face Mask;Vent,11,ucmc
Vent,Vent;CPAP;RAM Cannula,11,ucmc
Vent,High Flow NC;Humidified;Vent,10,ucmc
Vent,Nasal Cannula;Vent,9,ucmc
Vent,Warmed;Vent;High Flow NC,9,ucmc
Vent,Nasal Cannula;HF Vent,8,ucmc
Vent,HF Vent;Vent,7,ucmc
Vent,High Flow NC;Vent,7,ucmc
Vent,Trach Collar;Humidified;Warmed;Vent,7,ucmc
Vent,Trach Collar;Warmed;Vent,7,ucmc
Vent,Vent;Room Air,7,ucmc
Vent,Vent;Warmed;High Flow NC,7,ucmc
Vent,CPAP;Humidified;Vent ;Warmed,6,ucmc
Vent,Humidified;HF Vent,6,ucmc
Vent,Humidified;Warmed;HF Vent,6,ucmc
Vent,NRB Mask;Vent,6,ucmc
Vent,OxyTrach;Vent,6,ucmc
Vent,Room Air;Bag/Valve,6,ucmc
Vent,Trach Collar;Vent;Warmed;Humidified,6,ucmc
Vent,Vent;NRB Mask,6,ucmc
Vent,Vent;O2 Hood,6,ucmc
Vent,Warmed;HF Vent,6,ucmc
Vent,Bag/Valve;Vent,5,ucmc
Vent,Face Tent;Vent,5,ucmc
Vent,HF Vent;High Flow NC,5,ucmc
Vent,Vent;CPAP;Warmed,5,ucmc
Vent,Warmed;Vent ;Humidified;RAM Cannula,5,ucmc
Vent,Bag/Valve;Room Air,4,ucmc
Vent,CPAP;Vent ;RAM Cannula,4,ucmc
Vent,High Flow NC;HF Vent,4,ucmc
Vent,RAM Cannula;Warmed;Humidified;Vent,4,ucmc
Vent,Trach Collar;HF Vent,4,ucmc
Vent,Trach Collar;Warmed;Vent;Humidified,4,ucmc
Vent,Vent ;Room Air,4,ucmc
Vent,Bipap;Humidified;Vent ;Warmed,3,ucmc
Vent,Bipap;Humidified;Warmed;Vent,3,ucmc
Vent,Blow-By;Vent,3,ucmc
Vent,HF Vent;Nasal Cannula,3,ucmc
Vent,High Flow NC;Vent;Warmed,3,ucmc
Vent,Home Ventilator,3,ucmc
Vent,NRB Mask;Bag/Valve,3,ucmc
Vent,Nasal Cannula;Humidified;HF Vent,3,ucmc
Vent,O2 Hood;Vent ;Warmed,3,ucmc
Vent,Room Air;Trach Collar;Vent,3,ucmc
Vent,Trach Collar;Humidified;Vent;Warmed,3,ucmc
Vent,Trach Collar;Vent;Humidified;Warmed,3,ucmc
Vent,Vent ;Humidified;Warmed;RAM Cannula,3,ucmc
Vent,Vent ;Warmed;RAM Cannula;Humidified,3,ucmc
Vent,Vent;Warmed;O2 Hood,3,ucmc
Vent,Warmed;Humidified;HF Vent,3,ucmc
Vent,Bag/Valve;NRB Mask,2,ucmc
Vent,CPAP;Vent ;Warmed;Humidified,2,ucmc
Vent,Face Mask;Warmed;Vent,2,ucmc
Vent,HF Vent;Room Air,2,ucmc
Vent,HF Vent;Vent;Warmed;Humidified,2,ucmc
Vent,High Flow NC;Humidified;Warmed;HF Vent,2,ucmc
Vent,Humidified;High Flow NC;Vent,2,ucmc
Vent,Humidified;Warmed;Vent;Trach Collar,2,ucmc
Vent,Nasal Cannula;Bag/Valve,2,ucmc
Vent,OxyMask;Vent,2,ucmc
Vent,RAM Cannula;Vent;CPAP,2,ucmc
Vent,RAM Cannula;Vent;Humidified;Warmed,2,ucmc
Vent,Room Air;HF Vent,2,ucmc
Vent,T-Piece;Vent,2,ucmc
Vent,Trach Collar;Bag/Valve,2,ucmc
Vent,Vent ;Face Mask,2,ucmc
Vent,Vent;Bag/Valve,2,ucmc
Vent,Vent;High Flow NC,2,ucmc
Vent,Vent;Nasal Cannula,2,ucmc
Vent,Vent;Trach Collar,2,ucmc
Vent,Warmed;Humidified;High Flow NC;Vent,2,ucmc
Vent,Aerosol Mask;Vent,1,ucmc
Vent,Bag/Valve;BIPAP,1,ucmc
Vent,Bag/Valve;Bipap,1,ucmc
Vent,Bag/Valve;High Flow NC,1,ucmc
Vent,Bag/Valve;Nasal Cannula,1,ucmc
Vent,Bag/Valve;Trach Collar,1,ucmc
Vent,Bag/Valve;Warmed,1,ucmc
Vent,Bipap;Vent ;Humidified;Warmed,1,ucmc
Vent,Blow-By;High Flow NC;Vent,1,ucmc
Vent,Face Tent;HF Vent,1,ucmc
Vent,HF Vent;Bipap,1,ucmc
Vent,HF Vent;Face Tent,1,ucmc
Vent,HF Vent;Humidified;Vent,1,ucmc
Vent,HF Vent;NRB Mask,1,ucmc
Vent,High Flow NC;Bag/Valve,1,ucmc
Vent,High Flow NC;Humidified;Bag/Valve,1,ucmc
Vent,High Flow NC;Humidified;NRB Mask;Vent,1,ucmc
Vent,High Flow NC;Humidified;Vent ;Warmed,1,ucmc
Vent,High Flow NC;Humidified;Vent;Warmed,1,ucmc
Vent,High Flow NC;Vent;Humidified,1,ucmc
Vent,High Flow NC;Vent;Warmed;Humidified,1,ucmc
Vent,Humidified;HF Vent;High Flow NC;Warmed,1,ucmc
Vent,Humidified;HF Vent;Vent,1,ucmc
Vent,Humidified;Vent ;Trach Collar,1,ucmc
Vent,Humidified;Warmed;Trach Collar;Vent,1,ucmc
Vent,NRB Mask;Bag/Valve;Vent,1,ucmc
Vent,NRB Mask;HF Vent;Warmed,1,ucmc
Vent,NRB Mask;Humidified;HF Vent;Warmed,1,ucmc
Vent,NRB Mask;Humidified;Vent ;Warmed,1,ucmc
Vent,Nasal Cannula;HF Vent;Humidified,1,ucmc
Vent,Nasal Cannula;High Flow NC;HF Vent,1,ucmc
Vent,Nasal Cannula;Humidified;Vent,1,ucmc
Vent,Nasal Cannula;NRB Mask;HF Vent,1,ucmc
Vent,Nasal Cannula;Vent ;Humidified,1,ucmc
Vent,O2 Hood;Vent;Warmed,1,ucmc
Vent,RAM Cannula;Bag/Valve,1,ucmc
Vent,RAM Cannula;Humidified;Vent,1,ucmc
Vent,RAM Cannula;Humidified;Warmed;Vent,1,ucmc
Vent,RAM Cannula;Vent ;Humidified,1,ucmc
Vent,RAM Cannula;Vent;Warmed;Humidified,1,ucmc
Vent,Room Air;Face Mask;Bag/Valve;Face Tent,1,ucmc
Vent,Room Air;Face Mask;Trach Collar;Bag/Valve;Face Tent;Humidified;T-Piece;HF Vent;BIPAP;Warmed,1,ucmc
Vent,Room Air;Humidified;Vent,1,ucmc
Vent,Room Air;Humidified;Vent ;Warmed,1,ucmc
Vent,Room Air;Vent ;Trach Collar,1,ucmc
Vent,T-Piece;Vent;Humidified,1,ucmc
Vent,Trach Collar;Bag/Valve;Vent,1,ucmc
Vent,Trach Collar;Humidified;Bag/Valve,1,ucmc
Vent,Trach Collar;Humidified;Vent,1,ucmc
Vent,Trach Collar;Vent ;Room Air,1,ucmc
Vent,Trach Collar;Vent;Humidified,1,ucmc
Vent,Trach Collar;Warmed;Humidified;Vent,1,ucmc
Vent,Vent ;Bag/Valve,1,ucmc
Vent,Vent ;Bipap,1,ucmc
Vent,Vent ;HF Vent,1,ucmc
Vent,Vent ;Humidified;Warmed;NRB Mask,1,ucmc
Vent,Vent ;RAM Cannula;Humidified;Warmed,1,ucmc
Vent,Vent ;T-Piece,1,ucmc
Vent,Vent ;Trach Collar;Room Air,1,ucmc
Vent,Vent ;Trach Collar;T-Piece,1,ucmc
Vent,Vent ;Warmed;O2 Hood;Humidified,1,ucmc
Vent,Vent;Aerosol Mask,1,ucmc
Vent,Vent;Bipap;Warmed,1,ucmc
Vent,Vent;HF Vent,1,ucmc
Vent,Vent;High Flow NC;Warmed,1,ucmc
Vent,Vent;Humidified;High Flow NC,1,ucmc
Vent,Vent;Humidified;NRB Mask;Warmed,1,ucmc
Vent,Vent;Humidified;Warmed;Face Mask,1,ucmc
Vent,Vent;NRB Mask;Humidified;Warmed,1,ucmc
Vent,Vent;OxyTrach,1,ucmc
Vent,Vent;T-Piece,1,ucmc
Vent,Vent;Warmed;O2 Hood;Humidified,1,ucmc
Vent,Vent;Warmed;Trach Collar,1,ucmc
Vent,Warmed;High Flow NC;Vent,1,ucmc
Vent,Warmed;Humidified;Vent;CPAP,1,ucmc
Vent,Warmed;Vent;HF Vent,1,ucmc
Vent,Warmed;Vent;Humidified;CPAP,1,ucmc
Vent,Warmed;Vent;T-Piece,1,ucmc
NA,NA,4212391,ucmc
